City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
559,Santa Cruz Del Norte,CU,75.81,overcast clouds,23.1539,-81.9236,Felipon Pon Pon
560,Mangrol,IN,87.4,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
562,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
571,Vangaindrano,MG,75.67,overcast clouds,-23.35,47.6,Hotel Fanilo
578,Mae Sai,TH,87.44,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
583,Jizan,SA,89.89,clear sky,17.3333,42.6667,شهدان. ابوالحجر
585,Sikonge,TZ,81.77,clear sky,-5.6333,32.7667,Pretoria 2 Lodge
588,Puri,IN,84.72,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
595,Haldia,IN,83.28,clear sky,22.0605,88.1097,Prayag Balaji Hotel
597,Gushikawa,JP,75.2,broken clouds,26.3544,127.8686,Kirari Guest House
603,Talavera,PH,87.64,overcast clouds,15.6167,120.9333,R&G's Resort
604,Zaria,NG,77.14,overcast clouds,11.1113,7.7227,Nubapoly Guest Inn
606,Pozo Colorado,PY,78.51,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
609,Andros Town,BS,75.16,overcast clouds,24.7,-77.7667,Hanks place
611,Berbera,SO,85.46,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
612,Kalabo,ZM,77.27,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
618,Port-Gentil,GA,78.78,moderate rain,-0.7193,8.7815,Fengshui Residence
619,Muscat,OM,87.82,clear sky,23.6139,58.5922,Mutrah Hotel
622,Misratah,LY,77.56,clear sky,32.3754,15.0925,Almasa Hotel
623,Pringsewu,ID,82.04,moderate rain,-5.3582,104.9744,Urban Style by Front One
625,Puerto Escondido,MX,77.0,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
626,Labuhan,ID,79.88,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
627,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
630,Broken Hill,AU,82.76,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
639,Mudgal,IN,84.0,scattered clouds,16.0167,76.4333,PRINCE TYERS
640,Grand Gaube,MU,76.86,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
