City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Cherskiy,RU,68.75,161.3,-10.84,97,74,6.62,broken clouds
127,Iquique,CL,-20.2208,-70.1431,60.84,74,11,3.33,few clouds
128,Lebu,CL,-37.6167,-73.65,49.91,79,0,24.11,clear sky
129,Erenhot,CN,43.6475,111.9767,47.44,35,97,9.55,overcast clouds
130,Tasiilaq,GL,65.6145,-37.6368,11.7,78,16,7.49,few clouds
131,Dingle,PH,10.9995,122.6711,82.36,81,100,2.01,light rain
132,Mayumba,GA,-3.432,10.6554,78.58,83,100,7.54,overcast clouds
133,Wanning,CN,18.8003,110.3967,82.11,71,43,5.91,scattered clouds
134,Thompson,CA,55.7435,-97.8558,17.76,93,1,0.0,fog
135,Carnarvon,AU,-24.8667,113.6333,75.27,46,0,21.85,clear sky
136,Avarua,CK,-21.2078,-159.775,75.25,69,20,9.22,few clouds
137,Valparaiso,CL,-33.0393,-71.6273,49.64,76,0,0.0,clear sky
138,Les Cayes,HT,18.2,-73.75,76.35,83,3,2.37,clear sky
139,Santa Cruz,BO,-17.8,-63.1667,76.46,78,75,9.22,broken clouds
140,Namatanai,PG,-3.6667,152.4333,83.19,63,97,8.05,overcast clouds
141,Jeremie,HT,18.65,-74.1167,77.86,79,4,2.91,clear sky
142,Luderitz,NA,-26.6481,15.1594,68.45,50,27,16.82,scattered clouds
143,Padang,ID,-0.9492,100.3543,75.33,93,100,2.46,overcast clouds
144,Kapaa,US,22.0752,-159.319,78.78,81,90,12.66,light rain
145,Rudnichnyy,RU,59.617,52.4703,38.77,95,100,11.01,overcast clouds
146,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,74,90,0.0,overcast clouds
147,Wilnsdorf,DE,50.8167,8.1,42.76,93,100,1.01,overcast clouds
148,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,74,0,4.47,clear sky
149,Mahebourg,MU,-20.4081,57.7,82.69,65,40,10.36,scattered clouds
150,Narsaq,GL,60.9167,-46.05,26.55,95,100,6.42,overcast clouds
151,Rock Sound,BS,24.9,-76.2,79.75,74,100,9.13,overcast clouds
152,Mandalgovi,MN,45.7625,106.2708,13.91,32,100,21.34,overcast clouds
153,Pospelikha,RU,51.95,81.7667,16.45,80,100,19.8,overcast clouds
154,Mwinilunga,ZM,-11.7358,24.4293,75.81,58,4,4.05,clear sky
155,Umm Kaddadah,SD,13.6017,26.6876,85.12,24,3,19.86,clear sky
156,Severo-Kurilsk,RU,50.6789,156.125,36.72,78,100,8.95,overcast clouds
